Observation_Date,Year,Income
01-06-2014,2014,12993
01-07-2014,2014,13037.2
01-08-2014,2014,13093.2
01-09-2014,2014,13137
01-10-2014,2014,13195.9
01-11-2014,2014,13255
01-12-2014,2014,13323.7
01-01-2015,2015,13335.7
01-02-2015,2015,13408.1
01-03-2015,2015,13397.8
01-04-2015,2015,13439.5
01-05-2015,2015,13494.8
01-06-2015,2015,13529.3
01-07-2015,2015,13572.5
01-08-2015,2015,13602.8
01-09-2015,2015,13619.5
01-10-2015,2015,13643.6
01-11-2015,2015,13648.6
01-12-2015,2015,13702.2
01-01-2016,2016,13767.2
01-02-2016,2016,13773.8
01-03-2016,2016,13806
01-04-2016,2016,13822.6
01-05-2016,2016,13834.7
01-06-2016,2016,13868.1
01-07-2016,2016,13924.8
01-08-2016,2016,13960.5
01-09-2016,2016,14019
01-10-2016,2016,14073.7
01-11-2016,2016,14116.1
01-12-2016,2016,14180.1
01-01-2017,2017,14294.2
01-02-2017,2017,14356.4
01-03-2017,2017,14408.5
01-04-2017,2017,14468.8
01-05-2017,2017,14563.6
01-06-2017,2017,14583.9
01-07-2017,2017,14630.7
01-08-2017,2017,14681.5
01-09-2017,2017,14764.1
01-10-2017,2017,14826.3
01-11-2017,2017,14870.2
01-12-2017,2017,14918.8
01-01-2018,2018,15064.6
01-02-2018,2018,15132
01-03-2018,2018,15202.6
01-04-2018,2018,15271.7
01-05-2018,2018,15349.7
01-06-2018,2018,15425.7
01-07-2018,2018,15508.8
01-08-2018,2018,15574.8
01-09-2018,2018,15605.6
01-10-2018,2018,15670.2
01-11-2018,2018,15717.7
01-12-2018,2018,15925
01-01-2019,2019,15947.1
01-02-2019,2019,16001.2
01-03-2019,2019,16043.6
01-04-2019,2019,16055.6
01-05-2019,2019,16065.5
01-06-2019,2019,16103.7
01-07-2019,2019,16145
01-08-2019,2019,16238.4
01-09-2019,2019,16282.7
01-10-2019,2019,16332.8
01-11-2019,2019,16400.2
01-12-2019,2019,16358.1
01-01-2020,2020,16556.6
01-02-2020,2020,16637.7
01-03-2020,2020,16370.1
01-04-2020,2020,18714.8
01-05-2020,2020,17780.5
01-06-2020,2020,17765.3
01-07-2020,2020,17977.1
01-08-2020,2020,17329.2
01-09-2020,2020,17451.7
01-10-2020,2020,17394.6
01-11-2020,2020,17200.9
01-12-2020,2020,17319.1
01-01-2021,2021,19244
01-02-2021,2021,17703.8
01-03-2021,2021,21875.4
01-04-2021,2021,18651.9
01-05-2021,2021,18208
01-06-2021,2021,18217.6
01-07-2021,2021,18426
01-08-2021,2021,18462.4
01-09-2021,2021,18308.1
01-10-2021,2021,18430.9
01-11-2021,2021,18504
01-12-2021,2021,18540.7
01-01-2022,2022,18201.9
01-02-2022,2022,18317.4
01-03-2022,2022,18390.6
01-04-2022,2022,18446.5
01-05-2022,2022,18541.9
01-06-2022,2022,18678.4
01-07-2022,2022,18920.6
01-08-2022,2022,19087.3
01-09-2022,2022,19216.8
01-10-2022,2022,19362.3
01-11-2022,2022,19431.1
01-12-2022,2022,19533.4
01-01-2023,2023,20002.9
01-02-2023,2023,20153.1
01-03-2023,2023,20285
01-04-2023,2023,20374.1
01-05-2023,2023,20473.3
01-06-2023,2023,20533.6
01-07-2023,2023,20575
01-08-2023,2023,20666.8
01-09-2023,2023,20757.4
01-10-2023,2023,20826
01-11-2023,2023,20918.1
01-12-2023,2023,20996.4
01-01-2024,2024,21278.8
01-02-2024,2024,21364.6
01-03-2024,2024,21492.3
01-04-2024,2024,21521.4
01-05-2024,2024,21576.7
01-06-2024,2024,21607.7
01-07-2024,2024,21630.7
01-08-2024,2024,21644.4
01-09-2024,2024,21712.5
01-10-2024,2024,21830.3
01-11-2024,2024,21883.6
01-12-2024,2024,21965.2
01-01-2025,2025,22108.9
